NO,ABSTRAK,,,,,
85,"Meningkatnya jumlah penduduk menyebabkan kepentingan dan ketergantungan manusia pada lahan pertanian semakin meningkat. Namun, dibeberapa daerah terdapat lahan yang belum terkelompok berdasarkan kriteria lahan pertanian. Oleh karena itu, diperlukan pengelompokan lahan berdasarkan kriteria lahan pertanian. Pengolahan data dengan pengelompokan (clustering) data yang umum digunakan adalah K-Means clustering, yang termasuk metode partition clustering, yakni mempartisi data kedalam bentuk satu atau lebih kelompok. Untuk memvalidasi data setelah proses clustering digunakan Davies Bouldin Index (DBI) untuk meningkatkan akurasi validasi hasil analisis data. Pada penelitian ini, pengelompokan lahan tanaman pangan pada skenario yang dijadikan tiga cluster dengan 10, 20 dan 30 iterasi diperoleh di iterasi ke-10 kecocokan dengan label asli sebesar 73.61 % pada 72 data lahan tanaman padi. Pada data tanaman jagung kecocokan dengan label asli sebesar 72.22 % di iterasi ke-30, data tanaman kacang hijau dengan SSE terkecil = 0 di ke-30 dengan prosentase kecocokan 72,22 %, data tanaman kacang tanah dengan SSE terkecil = 0 di iterasi ke-10 kecocokan dengan label asli sebesar 77.78 %, data tanaman ubi kayu dengan SSE terkecil = 0 pada iterasi ke-20 dengan prosentase 63,89 %. Nilai terkecil pada pemvalidasian cluster dengan DBI menggunakan tiga sampai sebelas cluster pada 72 data lahan untuk tanaman padi berada pada cluster ke-6, tanaman jagung berada pada cluster ke-9, tanaman kacang hijau berada pada cluster ke-11, tanaman kacang tanah berada pada cluster ke-11, dan tanaman ubi kayu berada pada cluster ke-9. Hasilnya cukup akurat karena ada tiga kelompok yang terbentuk. ",,,,,
86,"Deteksi manusia merupakan suatu aplikasi yang berfungsi untuk mendeteksi objek manusia dalam sebuah citra. Beberapa keuntungan yang dapat diambil dari kajian ini, yaitu penerapan pada video pengawasan. Namun, dalam video pengawasan manusia yang dideteksi dalam keadaan bergerak. Sedangkan aplikasi ini, hanya mendeteksi atau menemukan objek manusia dari background sebuah citra. Sehingga dalam proses pembuatan aplikasi ini diperlukan perhitungan � perhitungan khusus untuk mendapatkan hasil yang baik. Penelitian ini menggunakan dua tahap yaitu proses ekstraksi fitur dan klasifikasi. Proses ekstraksi fitur menggunakan metode Histogram Of Oriented Gradients (HOG). Pada prinsipnya HOG menggunakan histogram untuk memperoleh ekstraksi fitur tersebut, dengan beberapa langkah diantarnya yaitu konversi citra, gradient compute dan normalisasi. Sedangkan pada metode Naive Bayes Classifier ini di gunakan untuk proses pengklasifikasian atau pencocokan citra. Sehingga pada hasil akhir dapat diketahui kelas citra yang telah diuji. Berdasarkan uji coba aplikasi menggunakan perhitungan distribusi gaussian probabilitas pada naive bayes classfier dengan nilai threshold = 12,13,14 dan 15 pada skenario 1, 2 dan 3 diperoleh rata � rata akurasi sebesar 68,65%.�",,,,,
87,"Pengenalan wajah merupakan salah satu teknologi biometric yang telah banyak dikembangkan oleh peneliti dibidang Computer Vision. Hasil penelitian dibidang ini juga sudah banyak digunakan dalam sistem keamanan seperti lingkungan intelijen dalam kepolisian serta dalam sistem keamanan ataupun verifikasi di berbagai perusahaan-perusahaan besar di Negara maju khususnya. Riset Tugas Akhir face recognition ini menggunakan citra ORL dan citra buatan. Dimana jumlah citra untuk ORL sebanyak 400 citra yang terdiri dari 40 kelas dan 10 pose, masing-masing citra mempunyai dimensi 112 x 92 piksel. Sedangkan, untuk citra buatan sebanyak 150 citra yang terdiri dari 15 kelas dan 10 pose, masing-masing citra mempunyai dimensi 180 x 150 piksel. Di skenario uji coba sistem ini terdapat 2 skenario pada masing-masing database uji coba, yaitu skenario 1 (7 pose citra training dan 3 pose citra testing) dan untuk skenario 2 (5 pose citra training dan 5 pose citra testing). Dalam proses uji coba, sistem ini membandingkan hasil akurasi antara penggunaan Histogram Equalization, Local Binary Pattern (LBP) dan tanpa proses Preprocessing, serta membandingkan hasil akurasi penggunaan jumlah fitur dalam proses klasifikasinya. Dalam proses klasifikasi menggunakan metode Canberra Distance dan Manhattan Distance dengan pendekatan penampilan (Appearance based). Hasil uji coba yang diperoleh membuktikan akurasi tertinggi terdapat pada citra ORL skenario 1 dengan histogram equalization yaitu 96,67%, sedangkan hasil terburuk pada citra ORL skenario 2 dengan LBP yaitu 33%.",,,,,
88,"Seiring dengan perubahan dalam paradigma pembangunan ekonomi yang tidak berfokus dalam penanggulangan masalah kemiskinan, maka sudah sepantasnya apabila pemerintah dituntut untuk dapat mengentaskan masalah kemiskinan melalui program-program pengentasan kemiskinan. Salah satu dari banyak program pengentasan kemiskinan yang dilaksanakan oleh pemerintah yaitu program RASKIN. Metode yang dipakai dalam penelitian ini adalah SMARTER (Simple Multi Attribute Rating Technique Exploiting Ranks). Metode SMARTER merupakan bagian dari metode Multiple Criteria Decision Making (MCDM). Metode ini dipilih karena metode SMARTER merupakan suatu bentuk model pendukung keputusan yang digunakan dalam pengambilan keputusan dengan kriteria yang beragam yang nantinya dapat digunakan untuk memecahkan masalah pengambilan keputusan. Penelitian yang dilakukan di Kecamatan Batuan, Kabupaten Sumenep ini menggunakan parameter kemiskinan yaitu sumber air minum, berapa kali makan per hari, kemampuan membeli daging, Ayam, susu per minggu, bahan bakar masak, jumlah pakaian baru, sumber penerangan, aset minimal, lapangan pekerjaan, tempat buang air besar, jenis lantai rumah, jenis dinding rumah, luas lantai rumah, kemampuan berobat jika sakit dan ijazah terakhir. Pada penelitian ini, sistem pendukung keputusan menggunakan metode SMARTER mampu menganalisa kriteria yang nantinya dapat menentukan penduduk mana yang layak menerima bantuan RASKIN. Sistem ini memiliki tingkat akurasi 80,5% jika dibandingkan dengan data rill pada tahun 2012. ",,,,,
89,"Kesehatan merupakan hal penting bagi kehidupan, terutama bagi manusia. Banyak penyakit yang menyerang manusia, salah satunya yaitu penyakit stroke. Penyakit stroke merupakan suatu gangguan fungsi sistem saraf yang dapat terjadi secara mendadak, disebabkan oleh gangguan pembuluh darah di otak. Banyaknya orang yang terkena stroke membuat dokter kesusahan untuk mendiagnosis pasien yang konsultasi maupun yang terkena stroke. Klasifikasi penyakit stroke secara cepat dan tepat dapat membantu dokter untuk mendiagnosis penyakit stroke. Klasifikasi penyakit stroke akan memprediksi penyakit yang diderita oleh pasien secara efektif dan efisien. Pada penelitian ini menggunakan model klasifikasi K-Nearest Neighbor(KNN) dengan seleksi fitur Gain Ratio. Metode KNN digunakan untuk klasifikasi penyakit stroke berdasarkan nilai k tetangga yang mana akan dihitung jarak antara data latih dan data uji, sedangkan Gain Ratio digunakan untuk meningkatkan akurasi dari metode KNN dengan cara mereduksi dimensi pada fitur. Data set yang digunakan yaitu data penyakit stroke dari situs https://www.kaggle.com/asaumya/healthcare-dataset-stroke-data dengan jumlah data 43400 yang mana terdiri 10 fitur. Data dipencah menggunakan K-fold Cross Validation dengan menggunakan k=10. Hasil yang didapatkan dengan menggunakan metode seleksi fitur Gain Ratio dan model klasifikasi KNN yaitu dengan jumlah fitur = 1 dan KNN(k=3) yang menghasilkan akurasi 1, recall 1, precision 1, error 0, dan waktu komputasi selama 228 detik.",,,,,
90,"Teknik pencarian citra berbasis teks yang ada saat ini belum dapat digunakan untuk merepresentasikan citra yang kita cari didalam sebuah database citra, sehingga seringkali diperoleh hasil pencarian citra yang tidak sesuai dengan yang diinginkan karena kita harus mengetahui kata kunci yang tepat sesuai dengan nama file citra untuk memperoleh citra yang kita inginkan. Temu kembali citra yaitu metode pencarian citra dengan melakukan perbandingan antara fitur citra query dengan fitur citra latih. Untuk mendapatkan akurasi hasil pencarian citra maka dilakukan ekstraksi fitur ciri energi dengan Haar Wavelet Transform dan melakukan perbandingan kemiripan fitur ciri energi tersebut berdasarkan jarak terdekat dengan Euclidean Distance. Dari hasil percobaan pada skenario 1 sampai dengan 8 untuk 5 buah citra query yang berbeda dapat dilihat bahwa sistem temu kembali citra berdasarkan isi menggunakan Haar Wavelet Transform dan Similarity Measure berdasarkan Euclidean Distance cukup baik untuk pencarian citra. Hal ini didasarkan pada skenario uji coba yang dilakukan bahwa hasil pencarian citra dengan melakukan ekstraksi fitur ciri menggunakan transformasi wavelet haar menghasil pencarian dengan akurasi tinggi pada saat dilkakukan dekomposisi level 3 dengan menghasilkan 12 buah ciri karena proses perhitungan fitur ciri yang dilakukan pada dekomposisi level 3 tidak dipengaruhi oleh pembulatan angka desimal yang signifikan dari nilai pixel yang dihasilkan pada subband LL pada dekomposisi sebelumnya. ",,,,,
91,"Salah satu komplikasi penyakit mata akibat diabetes mellitus adalah Diabetic Retinopathy (DR). Penyakit ini merusak pembuluh darah mikro (microvascular) pada retina mata. DR merupakan penyebab utama kebutaan pada penderita diabetes. Segmentasi Optic Disc (OD) merupakan salah satu bagian penting dari pemrosesan citra. Segmentasi bertujuan untuk melakukan pembagian citra menjadi beberapa wilayah homogen berdasarkan kriteria kemiripan tertentu. Penelitian ini bertujuan untuk mendeteksi lokasi OD pada retina secara otomatis. Proses deteksi OD diawali dengan preprocessing untuk meningkatkan kualitas citra dan menghilangkan pembuluh darah. Dilakukan seleksi Region of Interest. Selanjutnya kontur OD dideteksi dengan menggunakan algoritma Fuzzy C-Means Clustering (FCM). Hasil segmentasi dengan metode FCM dibandingkan dengan hasil deteksi ahli mata. Dengan metode ini diperoleh akurasi sebesar 96,85%, sensitivitas 79,24% dan spesifisitas 97,26%. ",,,,,
92,"Mata merupakan indra penglihatan manusia yang rentan terhadap penyakit. Adanya penyakit pada mata perlu diketahui sejak dini, sehingga dapat dicegah terjadinya gangguan pada mata yang mengakibatkan kebutaan. Pada Tugas Akhir ini menggunakan Bottom-Hat dan 2D-Gabor Filter untuk mensegmentasi pembuluh darah retina pada citra fundus berwarna. Penelitian ini terdapat dua tahap, yaitu preprocessing dan segmentasi. Pada tahap awal preprocessing terdiri dari mengubah citra ke green channel, peningkatan citra dengan Adaptive Histogram Equalization (AHE) dan menghilangkan noise menggunakan Median Filter. Tujuan preprocessing ini untuk mempersiapkan citra sebelum proses segmentasi, sehingga diharapkan menghasilkan segmentasi yang optimal. Dan tahap kedua yaitu segmentasi yang terdiri dari ekstraksi fitur dengan metode Bottom-Hat, 2D-Gabor Filter, binerisasi dengan Otsu Thresholding, membersihkan citra dari noise, kemudian citra diperjelas dengan dilasi. Selanjutnya dilakukan perhitungan tingkat akurasi dari hasil citra segmentasi. Pengujian dilakukan pada database Digital Retinal Images for Vessel Extraction (DRIVE) sebanyak 20 citra. Hasil akurasi yang didapat dari pengujian penelitian ini sebesar 88,93%. Dengan menggabungkan metode Bottom-Hat dengan 2D-Gabor Filter mampu menghasilkan segmentasi yang lebih baik.",,,,,
93,"Pengenalan wajah sudah berkembang sehingga perkembangan penelitian menjadi lebih canggih untuk membuat aplikasi untuk pengenalan yang dikembangkan dari wajah. Dengan hal yang seperti ini pengenalan, bukan hanya pengenalan wajah namum lebih mengedepankan pengenalan dari bagian wajah misal ekspresi wajah. Wajah merupakan bagian tubuh yang sangat unik yang mampu membuat ekspresi yang bermacam � macam. Meskipun nama filenya telah dirubah, namun tidaklah membuat citra yang ingin dicari kemiripan menjadi rancu karena hal ini tidak didasarkan atas nama dari sebuah file melainkan berdasarkan ciri baik bentuk, warna maupun tekstur. Sistem dibangun dengan proses utamanya yaitu deksriptor tekstur dengan menggunakan metode Local Binary Pattern (LBP) dan ekstraksi fitur tekstur dengan menggunakan Gray Level Co-occurrence Matrix (GLCM). Kemudian hasil dari ekstraksi fitur akan dilakukan pengukuran kemiripan dengan menggunakan metode Euclidean Distance (ED) sehingga ekspresi akan dikenali. Citra training dan citra testing yang dipergunakan sebanyak 203 citra dengan tujuh kelas citra didalamnya. Dari uji coba aplikasi pengenalan ekspresi wajah menggunakan pengukuran kemiripan Euclidean Distance diperoleh akurasi sebesar 45,8 % pada 70 training dan 133 testing serta akurasi tertinggi 81,6 % pada data 154 trainig dan data 49 testing menggunakan citra JAFFE Database dengan ekspresi marah, jijik, takut, bahagia, netral, sedih dan terkejut sebagai objek ekspresi citra.",,,,,
94,"Bahasa Madura sebagai salah satu bahasa daerah di Indonesia sudah mulai kehilangan identitas. Hal ini disebabkan minimnya pengetahuan dan sedikitnya pola pelestarian terhadap Bahasa Madura. Oleh karena itu, perlu adanya pola pembelajaran yang lebih efektif agar transformasi pengetahuan terus berjalan. Salah satunya dengan membuat aplikasi penerjemah Bahasa Madura-Indonesia dan juga sebaliknya. Untuk dapat menerjemahkan kata ataupun kalimat tersebut, dalam penelitian ini digunakan metode Free Context Parsing Algorithm. Dengan adanya aplikasi ini dapat menjadi referensi dalam mempelajari dan meningkatkan kemampuan berbahasa, mulai dari tingkatan Bahasa Madura yang paling umum (Enje�-Iyeh) hingga ke tingkatan Bahasa Madura yang paling halus (Engghi-Bunten), sehingga Bahasa Madura dapat bertahan dan lebih dikenal oleh masyarakat Madura maupun masyarakat luar Madura. Karena aplikasi yang berbasis web ini mampu menerjemahkan bahasa mulai dari Bahasa Madura ke Bahasa Indonesia dan dari Bahasa Indonesia ke Bahasa Madura. Dari hasil pengujian yang dilakukan terhadap beberapa kalimat dan dokumen, sistem ini sudah dapat dimengerti dan hasilnya cukup baik. Hal ini dibuktikan dengan rata-rata nilai presisi yang diperoleh sebesar 90%. Namun, masih terdapat kekurangan pada hasil terjemahan yang belum sempurna dari segi tata Bahasa Madura. ",,,,,
95,"Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik datang dari beberapa wilayah dan provinsi sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada penelitian ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Run Length Matrix (GLRM). GLRM dilakukan dengan membuat rangkaian pasangan nilai (i,j) pada setiap baris piksel dengan arah tertentu. Hasil ekstraksi fitur selanjutnya dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=145 diperoleh akurasi presisi sebesar 0.53 pada data pelatihan 184 dan data uji coba 16 dengan jumlah citra yang ditampilkan 10.",,,,,
96,"Mata adalah salah satu panca indera manusia yang kurang mendapat perhatian meskipun fungsinya yang sangat vital bagi manusia. hal ini menyebabkan banyak penyakit dan gangguan yang menyerang mata kita. Bahkan, beberapa penyakit dapat dilihat dari mata antara lain tekanan darah tinggi, kanker dan diabetes. Salah satu gejala diabetes adalah perdarahan ringan pada retina, adalah gejala Diabetic Retinopathy (DR). Jika tidak diobati, kondisi itu dapat berakhir dengan kebutaan. Segmentasi pembuluh darah pada citra fundus mata dapat membantu analisa terhadap perubahan pembuluh darah di retina. Pada penelitian Tugas Akhir ini, segmentasi pembuluh darah retina dimulai dengan tahap preprocessing, dan segmentasi. Tahap pertama adalah preprocessing, yaitu mengambil citra green channel,dan memperbaiki kontras citra dengan Contrast Limited Adaptive Histogram Equalization (CLAHE). Tahap kedua adalah segmentasi dengan First-Order Derivative of Gaussian, dilanjutkan dengan Morfologi Top Hat. Dilakukan perbaikan dengan proses noise removal, overlapping mask, operasi morfologi dilasi dan field of view removal. Hasil dari proses tersebut dibandingkan dengan citra groundtruth untuk menghitung tingkat akurasi. Pengujian dilakukan pada database DRIVE sebanyak 20 citra. Citra hasil segmentasi dibandingkan dengan citra groundtruth. Akurasi yang didapat dari pengujian tersebut sebesar 88,79%. Citra hasil segmentasi kurang baik sehingga metode First-Order Derivative of Gaussian mampu melakukan segmentasi dengan cukup baik ",,,,,
97,"Semakin banyaknya calon nasabah yang mengajukan kredit dengan kondisi ekonomi yang berbeda-beda, menuntut kejelian pihak bank sebagai pemberi kredit dalam pengambilan keputusan pemberian kredit. Oleh karena itu, dalam penentuan kelayakan kredit kepada nasabah, setiap Bank, dalam hal ini Bank Tabungan Negara (BTN) cabangBangkalanperlu memperhatikan beberapa prinsip faktor-faktor yang ada. Adapun faktor-faktor yang menjadi dasar pengambilan keputusan oleh pihak bank dalam menentukan calon penerima kredit dari pekerjaan, penghasilan per bulan, jumlah tanggungan, status ttempat tinggal. Dengan permasalahan tersebut maka, perlu adanya solusi pemecahan masalah yang ada dengan membuat suatu sistem pendukung keputusan yang bertujuan membantu proses pengambilan keputusan untuk meningkatkan kemampuan dalam memutuskan masalah tersebut. Metode yang digunakan dalam sistem pendukung keputusan ini adalah na�ve bayes. Na�ve bayes memegangasumsiakan hubungan antarfitur atau atributnya yang independen sehingga menjadikannya sederhana dan efisien. Penerapan Naive bayes ini diharapkan dapat menilai akurasi dalam menentukan nilai kelayakan kredit. Penerapan metode naive bayes kedalam sistem pendukung keputusan pengajuan kredit baru di Bank BTN memperoleh akurasi 90% dan error sekitar 10%.Dengan sistem ini metodenaive bayes mampu menentukan memberikan keputusan kepada pemohon dengan akurasi 90%",,,,,
98,"Pengenalan wajah merupakan salah satu bidang yang banyak diteliti dan dikembangkan oleh para pakar pengenalan pola. Hal ini disebabkan semakin meluasnya penggunaan teknik identifikasi wajah dalam aplikasi yang digunakan oleh masyarakat. Wajah dijadikan sebagai obyek pengenalan karena wajah memiliki informasi yang lebih mudah didapat dari pada sidik jari atau iris mata. Pada penelitian ini proses pengenalan wajah dilakukan dalam 3 tahap. Tahap pertama yaitu citra di ekstraksi fitur menggunakan metode Principle Component Analysis (PCA) dan metode Linear Discriminant Analysis (LDA). Nilai matrik bobot dihasilkan dari masing-masing proses ekstraksi fitur. Tahap selanjutnya proses penyatuan fitur, matrik bobot PCA dan LDA disatukan (fusion), sehingga menghasilkan susunan matrik baru yang disebut matrik fusion. Kemudian tahap pengklasifikasian citra menggunakan metode Manhattan Distance dengan cara mencari nilai minimum antara matrik fusion dan matrik fusion-test. Berdasarkan hasil uji coba sistem menggunakan 4 skenario diperoleh rata-rata akurasi 94,8%. Dengan menggunakan skenario yang sama metode PCA menghasilkan rata-rata akurasi 88,4% dan metode LDA menghasilkan rata-rata akurasi 94,6%. Hasil analisa tersebut menyimpulkan bahwa metode penyatuan fitur PCA dan LDA memiliki rata-rata lebih baik dari metode PCA dan LDA untuk pengenalan wajah",,,,,
99,"Penyakit merupakan suatu keadaan tidak normal dari tubuh manusia atau pikiran yang menyebabkan ketidaknyamanan. Untuk menyembuhkan suatu penyakit pada umumnya masyarakat berobat pada seorang dokter. Diagnosis penyakit merupakan penentuan jenis penyakit berdasarkan tanda dan gejala yang dirasakan. Saat ini beberapa penyakit semakin mewabah di kalangan masyarakat. Beberapa penyakit yang paling banyak diderita yaitu Infeksi Saluran Pencernaan Akut (ISPA), Nyeri Otot (Myalgia), serta Tifus. Terdapat banyak gejala dari 3 penyakit tersebut. Maka dari itu dibutuhkan suatu sistem berbasis komputer yang digunakan untuk menentukan diagnosis penyakit dengan menggunakan metode Dempster-Shafer. Dengan adanya sistem ini dapat mengatasi ketidakkonsistenan dalam menentukan diagnosis penyakit yang dilakukan oleh dokter. Pengambilan keputusan ini didasarkan pada 150 data hasil pemeriksaan terhadap pasien. Output dalam sistem ini yaitu berupa penyakit yang diderita antara lain penyakit Infeksi Saluran Pencernaan Akut (ISPA), Nyeri Otot (Myalgia), serta Suspect Tifus berdasarkan gejala yang dirasakan. Di dalam sistem untuk penyakit tifus akan menampilkan hasil diagnosis suspect tifus karena faktor keakuratan dalam menentukan penyakit tifus harus melalui pemeriksaan lebih lanjut yaitu tes laboratorium. Hasil perhitungan akurasi sistem dengan menggunakan metode Dempster-Shafer untuk menentukan diagnosis penyakit Ispa, Myalgia, dan Suspect Tifus mendapatkan hasil yang akurat yaitu masing-masing menghasilkan persentase sebesar 100%. Uji coba kelayakan terhadap pengguna memiliki tingkat kelayakan sebesar 86,8%.",,,,,
100,"Peramalan adalah proses untuk memperkirakan beberapa kebutuhan dimasa mendatang yang meliputi kebutuhan dalam ukuran kuantitas, kualitas, waktu dan lokasi yang dibutuhkan dalam rangka memenuhi permintaan barang ataupun jasa. Untuk menjalankan penjualan dengan baik, Toko Deeolshop membutuhkan sebuah sistem yang membantu dalam peningkatan penjualan. Toko Deeolshop belum memiliki sistem terstandar dalam mengatur perencanaan stok barang. Perencanaan biasanya hanya dilakukan berdasarkan pengalaman dan perkiraan pemilik saja, sehingga toko saat ini masih mengalami kendala dalam pengelolaan persediaannya, dimana stok barang seringkali mengalami kekurangan ataupun penumpukan stok barang di gudang. Berdasarkan permasalahan diatas, diperlukan adanya suatu sistem yang dapat membantu memprediksi stok barang untuk bulan berikutnya. Metode yang digunakan untuk melakukan peramalan pada sistem ini adalah metode Double Moving Average. Peramalan stok ini menggunakan acuan data hasil penjualan pada periode-periode sebelumnya. Metode tersebut digunakan untuk meramalkan banyaknya stok barang untuk periode berikutnya. Tingkat akurasi peramalan dihitung dengan MAPE dan diperoleh sebesar 10,36% dan menghasilkan akurasi sebesar 89.64%. Hasil peramalan item Totebag Zara untuk bulan berikutnya yaitu sebanyak 840 pcs. Dengan adanya sistem ini diharapkan Toko Deeolshop dapat lebih cepat dan efisien dalam menentukan stok barang, sehingga tidak akan terjadi kekurangan stok ataupun penumpukan stok barang.",,,,,
101,"Pemerataan pendidikan di Indonesia telah menjadi perhatian pemerintah sejak lama. Namun hingga saat ini, pendidikan di Indonesia masih belum merata. Hal tersebut dapat dilihat dari rendahnya nilai APK dan APM di daerah-daerah tertentu serta belum meratanya sarana dan prasarana pendidikan di seluruh daerah. Pemerintah membutuhkan informasi mengenai kondisi pemerataan pendidikan untuk menghasilkan kebijakan yang tepat. Salah satu cara untuk memperoleh informasi tersebut adalah dengan cara mengelompokkan kecamatan berdasarakan indikator pemerataan pendidikan. Pengelompokan (clustering) adalah metode data mining yang membagi data kedalam kelompok-kelompok yang mempunyai objek yang karakteristiknya sama. Penelitian ini menggunakan metode clustering Partition Around Medoids (PAM) dengan 3 distance measure: Manhattan, Euclidean dan Canberra distance. Untuk mengukur kualitas hasil clustering, digunakan nilai Adjusted Rand Index (ARI). Semakin besar nilai ARI, semakin baik kualitas cluster. Dari 3 kali ujicoba diperoleh rata-rata nilai ARI untuk Euclidean distance sebesar 0.799, Manhattan distance dengan rata-rata sebesar 0.738 dan Canberra distance sebesar 0.163. Sedangkan pengelompokan terbaik diperoleh saat ujicoba 1 menggunakan Euclidean distance dengan nilai ARI sebesar 0.825 dan kecocokan dengan label asli sebesar 83.33 %. Dari pengelompokan terbaik menghasilkan kelompok pemerataan tinggi terdiri dari 11 kecamatan, kelompok pemerataan sedang terdiri dari 15 kecamatan dan kelompok pemerataan rendah terdiri dari 46 kecamatan.",,,,,
102,"Peningkatan kualitas citra merupakan proses awal dalam sebuah pengolahan citra (image processing). Peningkatan kualitas citra sangat dibutuhkan karena suatu yang dijadikan obyek pembahasan mengalami kualitas citra yang buruk. Contohnya citra yang terlalu gelap membuat tampilan citra kurang jelas. Citra tersebut terjadi pada saat pengambilan citra intensitas pencahayaannya yang rendah atau gelap. Salah satu cara meningkatkan kualitas citra dengan meningkatkan kontras dari citra, dibutuhkan suatu sistem yang mampu meningkatkan kualitas citra tersebut. Penelitian ini ditujukan untuk meningkatkan kualitas citra yang ada pada citra. Metode yang diusulkan dalam metode penelitian ini adalah histogram equalization yang dioptimasi menggunakan algoritma Particle Swarm Optimization (PSO) untuk menangani kontras citra yang berlebih. Pada penelitian ini dilakukan beberapa scenario pengujian untuk mengetahui seberapa optimal pengaruh algoritma PSO dalam proses optimasi peningkatan kualitas citra dengan menangani kontras citra berlebih dengan menggunakan dataset ExDark. Hasil Dari uji coba yang dilakukan dengan membandingkan rata-rata nilai PSNR dari metode Histogram Equalization dan Histogram Equalization dengan penerapan algoritma PSO diperoleh rata-rata untuk metode Histogram Equalization dari 3 channel untuk Red sebesar 9.941dB, Green sebesar 9.734dB dan Blue sebesar 10.423dB. Sedangkan Histogram Equalization dengan penerapan algoritma PSO dari 3 channel untuk Red sebesar 13.919dB, Green sebesar 13.919dB dan Blue sebesar 14.448dB. Dapat disimpulkan dari hasil yang diperoleh yaitu metode Histogram Equalization dengan penerapan algoritma PSO akurasinya lebih besar dibandingkan dengan metode Histogram Equalization biasa.",,,,,
103,"Tembakau merupakan salah satu hasil produk pertanian yang diproses dari bagian daun tanaman tembakau. Masyarakat secara umum hanya mengetahui bahwa tembakau merupakan bahan baku utama rokok, akan tetapi pada kenyataannya ada manfaat lain dari daun tembakau, mulai dari melepaskan gigitan lintah hingga sebagai obat HIV/AIDS dan sebagai biofuel. Pada umumnya ada dua faktor yang mempengaruhi kualitas tanaman pada daun tembakau yaitu hama dan penyakit. Untuk meminimalisir penurunan kualitas tanaman pada daun tembakau, dibutuhkan suatu metode yang mampu mendeteksi penyakit daun tembakau sebagai bentuk dari pengembangan teknologi digital (pengolahan citra). Metode yang digunakan pada penelitian ini yaitu Color Moment (CM), dimana metode ini digunakan untuk ekstraksi fitur warna. Sedangkan untuk ekstraksi fitur tekstur, metode yang digunakan adalah metode Grey Level Run Length Matrix (GLRLM). Klasifikasi dilakukan berdasarkan fitur yang telah diekstraksi sebelumnya. Penelitian ini menggunakan algoritma klasifikasi K-Nearest Neighbors (KNN). Hasil penelitian didapat nilai akurasi untuk ekstraksi fitur warna mencapai 57.33%, untuk ekstraksi fitur tekstur nilai akurasi mencapai 40.00% , dan untuk ekstraksi fitur hybrid nilai akurasi mencapai 40.33% .",,,,,
104,Salah satu hasil komplikasi dari penyakit Diabetes Mellitus yaitu Retinopati Diabetes. Penyakit ini dapat menyebabkan kebutaan secara permanen jika tidak ditangani sejak dini. Angka penyandang Retinopati Diabetes terus meningkat seiring bertambahnya penyandang Diabetes Mellitus.Untuk itu diperlukan suatu sistem yang dapat mendeteksi penyakit ini sejak gejala awal. Dalam penelitian ini dibuat sebuah perangkat lunak untuk mendeteksi Retinopati Diabetes secara otomatis. Terdapat 3 langkah utama untuk proses deteksi. Langkah pertama dengan menyiapkan citra input. Citra input yang digunakan yaitu citra asli dalam bentuk grayscale serta citra asli yang dieliminasi pembuluh darahnya. Untuk melakukan eliminasi pembuluh darah dengan proses overlapping antara citra hasil segmentasi pembuluh darah dengan citra original database. Langkah kedua dengan ektraksi fitur menggunakan moment invariant method. Hasil dari proses ekstraksi fitur digunakan untuk proses klasifikasi dengan KNN Classifier dan dilakukan pengujian pada data testing untuk mendapatkan grade hasil klasifikasi tingkat keparahan Diabetic Retinopathy. Sistem ini dapat bekerja dengan tingkat akurasi maksimum sebesar 58% berdasarkan perubahan nilai K. Akurasi maksimum dengan perubahan jumlah Training mencapai 95%.,,,,,
